index,season,year,month,holiday,weekday,workingday,weather,casual_users,registered_users,total_users
1,winter,2011,1,nonholiday,Saturday,nonworkingday,Misty to misty with clouds,331,654,985
2,winter,2011,1,nonholiday,Sunday,nonworkingday,Misty to misty with clouds,131,670,801
3,winter,2011,1,nonholiday,Monday,workingday,Clear to partly cloudy,120,1229,1349
4,winter,2011,1,nonholiday,Tuesday,workingday,Clear to partly cloudy,108,1454,1562
5,winter,2011,1,nonholiday,Wednesday,workingday,Clear to partly cloudy,82,1518,1600
6,winter,2011,1,nonholiday,Thursday,workingday,Clear to partly cloudy,88,1518,1606
7,winter,2011,1,nonholiday,Friday,workingday,Misty to misty with clouds,148,1362,1510
8,winter,2011,1,nonholiday,Saturday,nonworkingday,Misty to misty with clouds,68,891,959
9,winter,2011,1,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,54,768,822
10,winter,2011,1,nonholiday,Monday,workingday,Clear to partly cloudy,41,1280,1321
11,winter,2011,1,nonholiday,Tuesday,workingday,Misty to misty with clouds,43,1220,1263
12,winter,2011,1,nonholiday,Wednesday,workingday,Clear to partly cloudy,25,1137,1162
13,winter,2011,1,nonholiday,Thursday,workingday,Clear to partly cloudy,38,1368,1406
14,winter,2011,1,nonholiday,Friday,workingday,Clear to partly cloudy,54,1367,1421
15,winter,2011,1,nonholiday,Saturday,nonworkingday,Misty to misty with clouds,222,1026,1248
16,winter,2011,1,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,251,953,1204
17,winter,2011,1,holiday,Monday,nonworkingday,Misty to misty with clouds,117,883,1000
18,winter,2011,1,nonholiday,Tuesday,workingday,Misty to misty with clouds,9,674,683
19,winter,2011,1,nonholiday,Wednesday,workingday,Misty to misty with clouds,78,1572,1650
20,winter,2011,1,nonholiday,Thursday,workingday,Misty to misty with clouds,83,1844,1927
21,winter,2011,1,nonholiday,Friday,workingday,Clear to partly cloudy,75,1468,1543
22,winter,2011,1,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,93,888,981
23,winter,2011,1,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,150,836,986
24,winter,2011,1,nonholiday,Monday,workingday,Clear to partly cloudy,86,1330,1416
25,winter,2011,1,nonholiday,Tuesday,workingday,Misty to misty with clouds,186,1799,1985
26,winter,2011,1,nonholiday,Wednesday,workingday,Light rain to thunderstorms or light snow,34,472,506
27,winter,2011,1,nonholiday,Thursday,workingday,Clear to partly cloudy,15,416,431
28,winter,2011,1,nonholiday,Friday,workingday,Misty to misty with clouds,38,1129,1167
29,winter,2011,1,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,123,975,1098
30,winter,2011,1,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,140,956,1096
31,winter,2011,1,nonholiday,Monday,workingday,Misty to misty with clouds,42,1459,1501
32,winter,2011,2,nonholiday,Tuesday,workingday,Misty to misty with clouds,47,1313,1360
33,winter,2011,2,nonholiday,Wednesday,workingday,Misty to misty with clouds,72,1454,1526
34,winter,2011,2,nonholiday,Thursday,workingday,Clear to partly cloudy,61,1489,1550
35,winter,2011,2,nonholiday,Friday,workingday,Misty to misty with clouds,88,1620,1708
36,winter,2011,2,nonholiday,Saturday,nonworkingday,Misty to misty with clouds,100,905,1005
37,winter,2011,2,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,354,1269,1623
38,winter,2011,2,nonholiday,Monday,workingday,Clear to partly cloudy,120,1592,1712
39,winter,2011,2,nonholiday,Tuesday,workingday,Clear to partly cloudy,64,1466,1530
40,winter,2011,2,nonholiday,Wednesday,workingday,Misty to misty with clouds,53,1552,1605
41,winter,2011,2,nonholiday,Thursday,workingday,Clear to partly cloudy,47,1491,1538
42,winter,2011,2,nonholiday,Friday,workingday,Clear to partly cloudy,149,1597,1746
43,winter,2011,2,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,288,1184,1472
44,winter,2011,2,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,397,1192,1589
45,winter,2011,2,nonholiday,Monday,workingday,Clear to partly cloudy,208,1705,1913
46,winter,2011,2,nonholiday,Tuesday,workingday,Clear to partly cloudy,140,1675,1815
47,winter,2011,2,nonholiday,Wednesday,workingday,Clear to partly cloudy,218,1897,2115
48,winter,2011,2,nonholiday,Thursday,workingday,Clear to partly cloudy,259,2216,2475
49,winter,2011,2,nonholiday,Friday,workingday,Clear to partly cloudy,579,2348,2927
50,winter,2011,2,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,532,1103,1635
51,winter,2011,2,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,639,1173,1812
52,winter,2011,2,holiday,Monday,nonworkingday,Misty to misty with clouds,195,912,1107
53,winter,2011,2,nonholiday,Tuesday,workingday,Clear to partly cloudy,74,1376,1450
54,winter,2011,2,nonholiday,Wednesday,workingday,Clear to partly cloudy,139,1778,1917
55,winter,2011,2,nonholiday,Thursday,workingday,Misty to misty with clouds,100,1707,1807
56,winter,2011,2,nonholiday,Friday,workingday,Misty to misty with clouds,120,1341,1461
57,winter,2011,2,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,424,1545,1969
58,winter,2011,2,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,694,1708,2402
59,winter,2011,2,nonholiday,Monday,workingday,Misty to misty with clouds,81,1365,1446
60,winter,2011,3,nonholiday,Tuesday,workingday,Clear to partly cloudy,137,1714,1851
61,winter,2011,3,nonholiday,Wednesday,workingday,Clear to partly cloudy,231,1903,2134
62,winter,2011,3,nonholiday,Thursday,workingday,Clear to partly cloudy,123,1562,1685
63,winter,2011,3,nonholiday,Friday,workingday,Misty to misty with clouds,214,1730,1944
64,winter,2011,3,nonholiday,Saturday,nonworkingday,Misty to misty with clouds,640,1437,2077
65,winter,2011,3,nonholiday,Sunday,nonworkingday,Misty to misty with clouds,114,491,605
66,winter,2011,3,nonholiday,Monday,workingday,Clear to partly cloudy,244,1628,1872
67,winter,2011,3,nonholiday,Tuesday,workingday,Clear to partly cloudy,316,1817,2133
68,winter,2011,3,nonholiday,Wednesday,workingday,Misty to misty with clouds,191,1700,1891
69,winter,2011,3,nonholiday,Thursday,workingday,Light rain to thunderstorms or light snow,46,577,623
70,winter,2011,3,nonholiday,Friday,workingday,Misty to misty with clouds,247,1730,1977
71,winter,2011,3,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,724,1408,2132
72,winter,2011,3,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,982,1435,2417
73,winter,2011,3,nonholiday,Monday,workingday,Clear to partly cloudy,359,1687,2046
74,winter,2011,3,nonholiday,Tuesday,workingday,Misty to misty with clouds,289,1767,2056
75,winter,2011,3,nonholiday,Wednesday,workingday,Misty to misty with clouds,321,1871,2192
76,winter,2011,3,nonholiday,Thursday,workingday,Clear to partly cloudy,424,2320,2744
77,winter,2011,3,nonholiday,Friday,workingday,Clear to partly cloudy,884,2355,3239
78,winter,2011,3,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,1424,1693,3117
79,winter,2011,3,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,1047,1424,2471
80,spring,2011,3,nonholiday,Monday,workingday,Misty to misty with clouds,401,1676,2077
81,spring,2011,3,nonholiday,Tuesday,workingday,Clear to partly cloudy,460,2243,2703
82,spring,2011,3,nonholiday,Wednesday,workingday,Misty to misty with clouds,203,1918,2121
83,spring,2011,3,nonholiday,Thursday,workingday,Misty to misty with clouds,166,1699,1865
84,spring,2011,3,nonholiday,Friday,workingday,Clear to partly cloudy,300,1910,2210
85,spring,2011,3,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,981,1515,2496
86,spring,2011,3,nonholiday,Sunday,nonworkingday,Misty to misty with clouds,472,1221,1693
87,spring,2011,3,nonholiday,Monday,workingday,Clear to partly cloudy,222,1806,2028
88,spring,2011,3,nonholiday,Tuesday,workingday,Clear to partly cloudy,317,2108,2425
89,spring,2011,3,nonholiday,Wednesday,workingday,Misty to misty with clouds,168,1368,1536
90,spring,2011,3,nonholiday,Thursday,workingday,Light rain to thunderstorms or light snow,179,1506,1685
91,spring,2011,4,nonholiday,Friday,workingday,Misty to misty with clouds,307,1920,2227
92,spring,2011,4,nonholiday,Saturday,nonworkingday,Misty to misty with clouds,898,1354,2252
93,spring,2011,4,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,1651,1598,3249
94,spring,2011,4,nonholiday,Monday,workingday,Clear to partly cloudy,734,2381,3115
95,spring,2011,4,nonholiday,Tuesday,workingday,Misty to misty with clouds,167,1628,1795
96,spring,2011,4,nonholiday,Wednesday,workingday,Clear to partly cloudy,413,2395,2808
97,spring,2011,4,nonholiday,Thursday,workingday,Clear to partly cloudy,571,2570,3141
98,spring,2011,4,nonholiday,Friday,workingday,Misty to misty with clouds,172,1299,1471
99,spring,2011,4,nonholiday,Saturday,nonworkingday,Misty to misty with clouds,879,1576,2455
100,spring,2011,4,nonholiday,Sunday,nonworkingday,Misty to misty with clouds,1188,1707,2895
101,spring,2011,4,nonholiday,Monday,workingday,Misty to misty with clouds,855,2493,3348
102,spring,2011,4,nonholiday,Tuesday,workingday,Misty to misty with clouds,257,1777,2034
103,spring,2011,4,nonholiday,Wednesday,workingday,Misty to misty with clouds,209,1953,2162
104,spring,2011,4,nonholiday,Thursday,workingday,Clear to partly cloudy,529,2738,3267
105,spring,2011,4,holiday,Friday,nonworkingday,Clear to partly cloudy,642,2484,3126
106,spring,2011,4,nonholiday,Saturday,nonworkingday,Light rain to thunderstorms or light snow,121,674,795
107,spring,2011,4,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,1558,2186,3744
108,spring,2011,4,nonholiday,Monday,workingday,Clear to partly cloudy,669,2760,3429
109,spring,2011,4,nonholiday,Tuesday,workingday,Misty to misty with clouds,409,2795,3204
110,spring,2011,4,nonholiday,Wednesday,workingday,Clear to partly cloudy,613,3331,3944
111,spring,2011,4,nonholiday,Thursday,workingday,Clear to partly cloudy,745,3444,4189
112,spring,2011,4,nonholiday,Friday,workingday,Misty to misty with clouds,177,1506,1683
113,spring,2011,4,nonholiday,Saturday,nonworkingday,Misty to misty with clouds,1462,2574,4036
114,spring,2011,4,nonholiday,Sunday,nonworkingday,Misty to misty with clouds,1710,2481,4191
115,spring,2011,4,nonholiday,Monday,workingday,Clear to partly cloudy,773,3300,4073
116,spring,2011,4,nonholiday,Tuesday,workingday,Clear to partly cloudy,678,3722,4400
117,spring,2011,4,nonholiday,Wednesday,workingday,Misty to misty with clouds,547,3325,3872
118,spring,2011,4,nonholiday,Thursday,workingday,Misty to misty with clouds,569,3489,4058
119,spring,2011,4,nonholiday,Friday,workingday,Clear to partly cloudy,878,3717,4595
120,spring,2011,4,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,1965,3347,5312
121,spring,2011,5,nonholiday,Sunday,nonworkingday,Misty to misty with clouds,1138,2213,3351
122,spring,2011,5,nonholiday,Monday,workingday,Misty to misty with clouds,847,3554,4401
