study_year,poverty_families,poverty_individuals,median_income_2018,total_population,median_center_infant,median_family_infant,county_name,state_name,state_abbreviation
2008,8.5,11.5,58462.55,49744,104.95,83.45,Autauga County,Alabama,AL
2009,7.5,10.3,60211.71,49584,105.11,87.39,Autauga County,Alabama,AL
2010,7.5,10.6,61775.8,53155,105.28,91.33,Autauga County,Alabama,AL
2011,7.4,10.9,60366.88,53944,105.45,95.28,Autauga County,Alabama,AL
2012,7.4,11.6,59150.3,54590,105.61,99.22,Autauga County,Alabama,AL
2013,8.3,12.1,57976.56,54907,105.78,103.16,Autauga County,Alabama,AL
2014,9.1,12.8,55623.5,55136,105.95,107.1,Autauga County,Alabama,AL
2015,9.3,12.9,54357.86,55221,109.56,107.1,Autauga County,Alabama,AL
2016,9.4,12.3,55753.95,55049,113.18,107.1,Autauga County,Alabama,AL
2017,10.9,13.7,56976.51,55036,116.79,107.1,Autauga County,Alabama,AL
2018,12,15.4,58786,55200,120.41,107.1,Autauga County,Alabama,AL
2008,8.2,10.3,58219.9,171447,109.95,105.56,Baldwin County,Alabama,AL
2009,8.8,11.9,57234.06,171997,109.28,105.39,Baldwin County,Alabama,AL
2010,9.1,12.2,58170.52,175791,108.62,105.21,Baldwin County,Alabama,AL
2011,9,12.5,57479.52,179523,107.95,105.04,Baldwin County,Alabama,AL
2012,9.6,13.3,55776.6,183226,107.28,104.87,Baldwin County,Alabama,AL
2013,10.3,13.9,54238.68,187114,106.61,104.7,Baldwin County,Alabama,AL
2014,10.2,13.8,53193.98,191205,105.95,104.53,Baldwin County,Alabama,AL
2015,9.6,13.4,53269.24,195121,109.56,105.39,Baldwin County,Alabama,AL
2016,9.3,13,53933.25,199510,113.18,106.24,Baldwin County,Alabama,AL
2017,8.2,11.8,54138.86,203360,116.79,107.1,Baldwin County,Alabama,AL
2018,7.3,10.6,55962,208107,120.41,107.96,Baldwin County,Alabama,AL
2008,20.9,25.4,37385.35,29396,75.75,74.03,Barbour County,Alabama,AL
2009,20.5,24.7,38068.29,29663,78.42,74.54,Barbour County,Alabama,AL
2010,19.9,25,38534.04,27699,81.09,75.06,Barbour County,Alabama,AL
2011,19.1,24.7,38125.92,27546,83.76,75.57,Barbour County,Alabama,AL
2012,20.2,26.1,35077.9,27469,86.43,76.08,Barbour County,Alabama,AL
2013,20.8,26.7,35543.88,27321,89.09,76.6,Barbour County,Alabama,AL
2014,19.1,24.1,37772.04,27119,91.76,77.11,Barbour County,Alabama,AL
2015,19.5,26.7,34941.84,26932,90.37,78.25,Barbour County,Alabama,AL
2016,20,26.4,35653.8,26614,88.98,79.4,Barbour County,Alabama,AL
2017,20.5,27.2,34369.04,26201,87.59,80.54,Barbour County,Alabama,AL
2018,21.5,28.9,34186,25782,86.2,81.68,Barbour County,Alabama,AL
2008,9.9,13,50464.3,21473,86.59,76.25,Bibb County,Alabama,AL
2009,8.3,11.9,48246.12,21464,89.26,77.11,Bibb County,Alabama,AL
2010,9.4,12.6,48453.2,22610,91.93,77.97,Bibb County,Alabama,AL
2011,11.7,15.7,45366.72,22746,94.6,78.83,Bibb County,Alabama,AL
2012,13.1,16.5,40506.4,22769,97.27,79.68,Bibb County,Alabama,AL
2013,15.1,18.1,39362.76,22754,99.94,80.54,Bibb County,Alabama,AL
2014,13,17,40263.04,22653,102.61,81.4,Bibb County,Alabama,AL
2015,12.8,16.8,40998.68,22604,103.17,82.82,Bibb County,Alabama,AL
2016,11.7,16.5,41764.8,22572,103.72,84.25,Bibb County,Alabama,AL
2017,11.9,15.2,44706.12,22580,104.28,85.68,Bibb County,Alabama,AL
2018,10.5,14,45340,22527,104.83,87.11,Bibb County,Alabama,AL
2008,8.8,12,53048.35,56550,120.64,105.3,Blount County,Alabama,AL
2009,8.3,11,53125.02,56804,122.36,105.13,Blount County,Alabama,AL
2010,10,13.4,52836.84,56692,124.08,104.95,Blount County,Alabama,AL
2011,10.2,13.7,50852.48,57140,125.81,104.78,Blount County,Alabama,AL
2012,10.9,14.7,49711.2,57466,127.53,104.61,Blount County,Alabama,AL
2013,12,15.8,47676.6,57623,129.25,104.44,Blount County,Alabama,AL
2014,13.2,17.3,47073.54,57645,130.98,104.26,Blount County,Alabama,AL
2015,12.3,16.7,48561.78,57710,142.75,105.41,Blount County,Alabama,AL
2016,12.2,16.5,48522.6,57704,154.53,106.56,Blount County,Alabama,AL
2017,11.1,15.6,48834.36,57667,166.31,107.71,Blount County,Alabama,AL
2018,10.2,14.4,48695,57645,178.08,108.86,Blount County,Alabama,AL
2008,29.8,32.43,29424.28,11006,104.95,83.45,Bullock County,Alabama,AL
2009,29.8,32.3,30664.53,10917,105.11,87.39,Bullock County,Alabama,AL
2010,22.6,25.3,36658.32,10923,105.28,91.33,Bullock County,Alabama,AL
2011,22.1,26,35789.6,10877,105.45,95.28,Bullock County,Alabama,AL
2012,18.4,22.2,37950,10779,105.61,99.22,Bullock County,Alabama,AL
2013,18.3,21.6,34595.64,10746,105.78,103.16,Bullock County,Alabama,AL
2014,18.3,20.5,36892.24,10693,105.95,107.1,Bullock County,Alabama,AL
2015,22.7,24.6,33854.28,10678,109.56,107.1,Bullock County,Alabama,AL
2016,25.3,26.9,30801.75,10552,113.18,107.1,Bullock County,Alabama,AL
2017,29.7,28.5,30544.65,10478,116.79,107.1,Bullock County,Alabama,AL
2018,31,31.4,32152,10352,120.41,107.1,Bullock County,Alabama,AL
2008,15.2,20.3,37523.35,20155,108.4,83.93,Butler County,Alabama,AL
2009,17.8,22,37367.46,20189,108.57,87.89,Butler County,Alabama,AL
2010,19.7,25,35564.44,20895,108.75,91.86,Butler County,Alabama,AL
2011,21.4,25.7,35025.76,20860,108.92,95.82,Butler County,Alabama,AL
2012,21.6,25.7,33827.2,20730,109.09,99.78,Butler County,Alabama,AL
2013,23.3,28.4,32311.44,20624,109.26,103.75,Butler County,Alabama,AL
2014,21.3,25.9,33465.26,20523,109.44,107.71,Butler County,Alabama,AL
2015,20.5,25.4,34162.74,20354,113.17,107.71,Butler County,Alabama,AL
2016,20.6,25.7,36030.75,20280,116.9,107.71,Butler County,Alabama,AL
2017,19.3,24.4,37415.78,20126,120.64,107.71,Butler County,Alabama,AL
