how_old_are_you,industry,job_title,annual_salary,currency,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race
25-34,Education (Higher Education),Research and Instruction Librarian,55000,USD,United States,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Computing or Tech,Change & Internal Communications Manager,54600,GBP,United Kingdom,NA,Cambridge,8 - 10 years,5-7 years,College degree,Non-binary,White
25-34,"Accounting, Banking & Finance",Marketing Specialist,34000,USD,US,Tennessee,Chattanooga,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Nonprofits,Program Manager,62000,USD,USA,Wisconsin,Milwaukee,8 - 10 years,5-7 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Accounting Manager,60000,USD,US,South Carolina,Greenville,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Education (Higher Education),Scholarly Publishing Librarian,62000,USD,USA,New Hampshire,Hanover,8 - 10 years,2 - 4 years,Master's degree,Man,White
25-34,Publishing,Publishing Assistant,33000,USD,USA,South Carolina,Columbia,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Education (Primary/Secondary),Librarian,50000,USD,United States,Arizona,Yuma,5-7 years,5-7 years,Master's degree,Man,White
45-54,Computing or Tech,Systems Analyst,112000,USD,US,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,"Accounting, Banking & Finance",Senior Accountant,45000,USD,United States,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Nonprofits,Office Manager,47500,USD,United States,NA,"Boston, MA",5-7 years,5-7 years,College degree,Woman,White
35-44,Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,62000,USD,USA,Pennsylvania,Scranton,11 - 20 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,"Accounting, Banking & Finance",Manager of Information Services,100000,USD,United States,Michigan,Detroit,11 - 20 years,11 - 20 years,College degree,Man,"Asian or Asian American, White"
25-34,Law,Legal Aid Staff Attorney,52000,USD,United States,Minnesota,Saint Paul,2 - 4 years,2 - 4 years,NA,Woman,White
18-24,Health care,Patient care coordinator,32000,CAD,Canada,NA,Remote,1 year or less,1 year or less,College degree,Woman,White
35-44,Utilities & Telecommunications,Quality And Compliance Specialist,24000,GBP,United Kingdom,NA,Lincoln,11 - 20 years,5-7 years,College degree,Man,White
35-44,Business or Consulting,Executive Assistant,85000,USD,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,Some college,Woman,White
45-54,Art & Design,graphic designer,59000,USD,usa,California,Pomona,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Business or Consulting,Senior Manager,98000,USD,USA,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman,White
35-44,Education (Higher Education),Assistant Director of Academic Advising,54000,USD,United States,Florida,Boca Raton,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Health care,Data Programmer Analyst,74000,USD,USA,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Nonprofits,Program Coordinator & Assistant Editor,50000,USD,United States,NA,Atlanta,5-7 years,2 - 4 years,PhD,Woman,White
35-44,Nonprofits,Event Planner,63000,CAD,Canada,NA,Toronto,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Government and Public Administration,Researcher,96000,USD,United States,Ohio,Dayton,8 - 10 years,2 - 4 years,PhD,Woman,Asian or Asian American
25-34,Public Library,Teen Librarian,44500,USD,US,Florida,Bradenton,5-7 years,2 - 4 years,NA,Woman,White
35-44,Education (Higher Education),Communications Specialist,60000,USD,USA,Michigan,Ann Arbor,11 - 20 years,1 year or less,Master's degree,Woman,White
25-34,Nonprofits,Program Director,62000,USD,US,District of Columbia,Washington DC,5-7 years,2 - 4 years,College degree,Man,White
35-44,Law,Bookkeeper/Billing Manager,48000,USD,USA,Maryland,Silver Spring,11 - 20 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer
35-44,Government and Public Administration,Economist,140000,USD,USA,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Engineering or Manufacturing,Research Engineer,80000,USD,United States,Texas,San Antonio,5-7 years,5-7 years,College degree,Woman,White
25-34,Nonprofits,Volunteer and Giving Coordinator,39000,USD,United States,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Media & Digital,Editor,125000,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,"Accounting, Banking & Finance",Financial Advisor,230000,USD,USA,Missouri,St. Louis,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,"Accounting, Banking & Finance",Accounting Manager,110000,USD,US,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Nonprofits,Administrative and HR Manager,50000,USD,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Education (Higher Education),Senior IRB Analyst,68000,USD,USA,North Carolina,Research Triangle,5-7 years,2 - 4 years,Master's degree,Woman,White
18-24,Media & Digital,Reporter,41000,USD,United States,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Senior Administrator,76000,USD,United States,New York,Manhattan,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Government and Public Administration,Staff Services Manager II,78000,USD,USA,California,Sacramento,8 - 10 years,5-7 years,Master's degree,Woman,White
25-34,"Accounting, Banking & Finance",Receptionist,37000,USD,USA,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman,White
45-54,Engineering or Manufacturing,Lead Engineer,100000,USD,USA,Georgia,waynesboro,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,"Marketing, Advertising & PR",Senior Copywriter,35000,GBP,UK,NA,Liverpool,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Government and Public Administration,Manager of Data Integrity and Prospect Research,65000,USD,USA,Virginia,Richmond,5-7 years,5-7 years,College degree,Man,White
25-34,Computing or Tech,Principal Software Engineer,187500,USD,United States,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Computing or Tech,Intelligence Analyst,110000,USD,USA,Virginia,"Arlington, VA",8 - 10 years,8 - 10 years,Master's degree,Man,White
25-34,Nonprofits,Project Manager,66625,USD,US,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Computing or Tech,Mobile developer,144600,USD,USA,Massachusetts,Boston,5-7 years,5-7 years,PhD,Woman,White
35-44,Computing or Tech,Product Design Director,200850,USD,USA,North Carolina,Chapel Hill,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Engineering specialist,120000,CAD,Canada,NA,Vancouver,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Retail,"Manager, Total Rewards",97500,CAD,Canada,NA,Toronto,8 - 10 years,8 - 10 years,College degree,Woman,White
