pet_type,year,month,breed,count
cats,2016,1,Abyssiniane,1349
cats,2016,1,Aegean Cat,0
cats,2016,1,American Bobtail Shorthair,NA
cats,2016,1,American Curl Longhair,56
cats,2016,1,American Curl Shorthair,0
cats,2016,1,American Shorthair,46
cats,2016,1,American Wirehair,0
cats,2016,1,Angora,892
cats,2016,1,Aphrodites Giant Longhair,0
cats,2016,1,Arabian Mau,14
cats,2016,1,Asian Shorthair,11
cats,2016,1,Australian Mist,0
cats,2016,1,Balinese,247
cats,2016,1,Bengal,4122
cats,2016,1,Bengal Longhair,NA
cats,2016,1,Bombay,62
cats,2016,1,Brazilian Shorthair,31
cats,2016,1,British Longhair Highlander,695
cats,2016,1,British Shorthair,9259
cats,2016,1,Burma,660
cats,2016,1,Burmilla,19
cats,2016,1,California Spangled,NA
cats,2016,1,Celestial British Longhair,0
cats,2016,1,Celestial British Shorthair,0
cats,2016,1,Ceylon,0
cats,2016,1,Chartreux,1624
cats,2016,1,Chausie,0
cats,2016,1,Chinchilla Longhair,11
cats,2016,1,Colourpoint Shorthair,0
cats,2016,1,Cornish Rex,47
cats,2016,1,Cornish Rex Longhair,0
cats,2016,1,Crossbred,14235
cats,2016,1,Cymric,NA
cats,2016,1,Devon Rex,595
cats,2016,1,Domestic Longhair,8
cats,2016,1,Domestic Mediumhair,0
cats,2016,1,Domestic Shorthair,100
cats,2016,1,Don Sphynx,46
cats,2016,1,Egyptian Mau,403
cats,2016,1,Elf Cat,0
cats,2016,1,Eur Europe,124
cats,2016,1,European,159883
cats,2016,1,European Longhair,5454
cats,2016,1,European Shorthair,88715
cats,2016,1,Exotic Shorthair,467
cats,2016,1,German Rex,9
cats,2016,1,Havana Brown,5
cats,2016,1,Japanese Bobtail,20
cats,2016,1,Kanaani,0
cats,2016,1,Karelian Bobtail,0
cats,2016,1,Khao Manee,NA
cats,2016,1,Korat,145
cats,2016,1,Kurilian Bobtail,14
cats,2016,1,Kurilian Bobtail Longhair,0
cats,2016,1,Lambkin,0
cats,2016,1,La Perm Shorthair,0
cats,2016,1,Lykoi,NA
cats,2016,1,Macawi,5
cats,2016,1,Maine Coon,12243
cats,2016,1,Mandalay,0
cats,2016,1,Manx,15
cats,2016,1,Marguerite,NA
cats,2016,1,Mekong Bobtail,0
cats,2016,1,Minuet,0
cats,2016,1,Munchkin,35
cats,2016,1,Nebelung,14
cats,2016,1,Neva Masquerade,399
cats,2016,1,Norwegian Forest Cat,6228
cats,2016,1,Ocicat,206
cats,2016,1,Ojos Azules,0
cats,2016,1,Oriental Longhair,110
cats,2016,1,Oriental Shorthair,648
cats,2016,1,Original Longhair,0
cats,2016,1,Persian,4971
cats,2016,1,Peterbald,64
cats,2016,1,Pixiebob,NA
cats,2016,1,Ragamuffin,68
cats,2016,1,Ragdoll,2618
cats,2016,1,Russian Blue,764
cats,2016,1,Sacred Birman,3779
cats,2016,1,Safari,0
cats,2016,1,Savannah,246
cats,2016,1,Scottish Fold Highland Fold,484
cats,2016,1,Scottish Straight,75
cats,2016,1,Selkirk Rex,160
cats,2016,1,Serengeti,NA
cats,2016,1,Siamese,3525
cats,2016,1,Siberian,2483
cats,2016,1,Singapura,69
cats,2016,1,Snowshoe,105
cats,2016,1,Sokoke,NA
cats,2016,1,Somali,674
cats,2016,1,Sphynx,897
cats,2016,1,Tasmanian Manx,0
cats,2016,1,Thai,123
cats,2016,1,Thai Siam,230
cats,2016,1,Tonkinese Longhair,0
cats,2016,1,Tonkinese Shorthair,151
cats,2016,1,Toyger,55
cats,2016,1,Turkish Angora,518
cats,2016,1,Turkish Vankedisi,100
cats,2016,1,Ukrainian Levkoy,NA
cats,2016,1,Unknown,310
cats,2016,1,Ural Rex Shorthair,0
cats,2016,2,Abyssiniane,1349
cats,2016,2,Aegean Cat,0
cats,2016,2,American Bobtail Shorthair,NA
cats,2016,2,American Curl Longhair,57
cats,2016,2,American Curl Shorthair,0
cats,2016,2,American Shorthair,46
cats,2016,2,American Wirehair,0
cats,2016,2,Angora,899
cats,2016,2,Aphrodites Giant Longhair,0
cats,2016,2,Arabian Mau,14
cats,2016,2,Asian Shorthair,11
cats,2016,2,Australian Mist,0
cats,2016,2,Balinese,248
cats,2016,2,Bengal,4173
cats,2016,2,Bengal Longhair,NA
cats,2016,2,Bombay,62
cats,2016,2,Brazilian Shorthair,31
cats,2016,2,British Longhair Highlander,699
cats,2016,2,British Shorthair,9335
cats,2016,2,Burma,663
cats,2016,2,Burmilla,19
cats,2016,2,California Spangled,NA
cats,2016,2,Celestial British Longhair,0
cats,2016,2,Celestial British Shorthair,0
cats,2016,2,Ceylon,0
cats,2016,2,Chartreux,1632
cats,2016,2,Chausie,0
cats,2016,2,Chinchilla Longhair,11
cats,2016,2,Colourpoint Shorthair,0
cats,2016,2,Cornish Rex,48
cats,2016,2,Cornish Rex Longhair,0
cats,2016,2,Crossbred,14352
cats,2016,2,Cymric,NA
cats,2016,2,Devon Rex,597
cats,2016,2,Domestic Longhair,9
cats,2016,2,Domestic Mediumhair,0
cats,2016,2,Domestic Shorthair,100
cats,2016,2,Don Sphynx,47
cats,2016,2,Egyptian Mau,407
cats,2016,2,Elf Cat,0
cats,2016,2,Eur Europe,123
cats,2016,2,European,160902
cats,2016,2,European Longhair,5539
cats,2016,2,European Shorthair,89748
cats,2016,2,Exotic Shorthair,471
cats,2016,2,German Rex,9
cats,2016,2,Havana Brown,6
cats,2016,2,Japanese Bobtail,20
cats,2016,2,Kanaani,0
cats,2016,2,Karelian Bobtail,0
cats,2016,2,Khao Manee,NA
cats,2016,2,Korat,146
cats,2016,2,Kurilian Bobtail,14
cats,2016,2,Kurilian Bobtail Longhair,0
cats,2016,2,Lambkin,0
cats,2016,2,La Perm Shorthair,0
cats,2016,2,Lykoi,NA
cats,2016,2,Macawi,5
cats,2016,2,Maine Coon,12371
cats,2016,2,Mandalay,0
cats,2016,2,Manx,15
cats,2016,2,Marguerite,NA
cats,2016,2,Mekong Bobtail,NA
cats,2016,2,Minuet,0
